name,recorded_date,over_all_rating,price_range,range,top_speed,power,front_suspension,rear_suspension,front_type,wheel_type,total_no_of_reviews,design,comfort,reliability_maintenance,kerb_weight,charging_time,seat_height,max_power,battery_capacity,rear_type,mileage_performance,maintenance_cost,features,good_features,bad_features,performance,mileage,safety,value_for_money,styling
Hero Electric Photon,2023-11-10,3.00,"? 86,391 ",60 km/charge,42 kmph,1000-1400 W,Telescopic,null,Drum,Tubeless,26 ratings,null,null,null,116 Kg,8-10 hours,768 mm,1000-1400 W,1.44 kwh,Drum,null,3.60,null,"1500W (output) BLDC motor18 Ltr storageDecent build quality & fit and finishDisc BrakesHero's widespread service network is a peace of mind in itselfNimble in size, easy to maneuver in trafficThe portable battery pack is a boon for riders",Feels dated alreadyhardware should be improvedLong term reliability is questionableLow ground clearance Plain jane design,4.00,null,4.40,null,null
Hero Electric NYX,2023-11-10,4.10,"? 67,540 - ? 86,540 ",55 km/charge,42 kmph,600 - 1300 W,Telescopic,null,null,null,19 ratings,null,4.30,null,87 Kg,4-5 hours,null,null,null,null,null,4.10,null,High Ground ClearanceTelescopic SuspensionGreen and environment friendly, Build QualityPoor ServiceSpeed,4.20,null,null,null,null
Hero Electric Atria,2023-11-10,3.90,"? 77,690 ",8590 km/charge,25 kmph,250 W,Telescopic,null,null,Alloy,22 ratings,null,null,null,null,4-5 hours,null,250 W,1.53 kwh,null,null,4.30,null,null,null,null,4.40,4.60,null,null
Hero Electric Eddy,2023-11-10,4.20,"? 72,000 ",85 km/charge,25 kmph,null,null,null,null,Tubeless,15 ratings,null,5.00,5.00,null,4-5 Hours,null,null,1.53 kwh,null,5.00,null,null,null,null,null,null,null,null,null
Geliose Hope,2023-11-10,4.20,"? 46,999 ",75 km/charge,25 kmph,null,Telescopic,Telescopic suspension,null,Alloy Wheels,1 ratings,null,null,null,null,3 Hours 12 Minutes,- mm,null,1.44 kwh,null,null,5.00,null,Good riding range.Multiple battery options.Quick charging.,Design too outdated. Not worthy of the price.,4.00,5.00,null,null,null
Bajaj Chetak,2023-11-10,3.90,? 1.20 Lakh ,108 km/charge,63 kmph,5.55 PS,Leading-link Suspension,Monoshock,Dsic,null,213 ratings,null,4.30,null,133 Kg,5 Hours,760 mm,null,null,Drum,null,4.40,null,Attractive design and road presenceBajajâ€™s trustworthy service networkGood mileageOverall good product quality,Ideal driving range less than the rivalsModest PerformanceMore priceNot as nimble as some rivals,4.30,null,null,null,null
Wroley E-Scooter Posh,2023-11-10,4.00,"? 78,100 ",90 km/charge,null,null,Hydraulic damping,Hydraulic damping,Disc,null,1 ratings,null,null,null,null,4 Hours,null,null,1.8 kwh,Drum,null,5.00,3.80,null,null,null,null,null,null,null
Wroley E-Scooter Platina,2023-11-10,4.60,"? 73,700 ",90 km/charge,null,null,Hydraulic damping,Hydraulic damping,Disc,null,2 ratings,null,null,null,null,4 Hours,640 mm,null,1.8 kwh,Drum,null,null,null,null,null,null,null,null,null,null
Wroley E-Scooter Mars,2023-11-10,null,"? 66,000 ",90 km/charge,null,null,Hydraulic damping,Hydraulic damping,Disc,null,null,null,null,null,null,4 Hours,640 mm,null,1.8 kwh,Drum,null,null,null,null,null,null,null,null,null,null
Okaya Electric Faast F3,2023-11-10,4.90,? 1.25 Lakh ,120 km/charge,70 kmph,null,Telescopic,Spring Loaded,Drum,Steel,8 ratings,null,5.00,5.00,null,4-5 hours,null,null,null,Drum,5.00,null,null,null,null,null,null,null,null,null
Okaya Freedum,2023-11-10,3.60,"? 74,899 ",70 km/charge,25 kmph,250 W,Telescopic,Spring Loaded,Drum,Steel,14 ratings,null,null,null,null,4 - 5 hours,null,250 W,1.4 kwh,Drum,null,5.00,null,null,null,4.00,4.00,null,null,null
Okaya ClassIQ,2023-11-10,3.90,"? 58,450 - ? 74,499 ",60 km/charge,25 kmph,250 W,Telescopic,Spring Loaded,Disc,Steel,11 ratings,4.00,null,null,null,4-5 hours,null,250 W,1.4 kwh,Drum,4.00,5.00,null,null,null,null,null,null,null,null
Okaya  Faast F2F,2023-11-10,3.50,"? 99,950 ",70 km/charge,55 kmph,null,Telescopic,Spring Loaded,Drum,Steel,3 ratings,null,null,null,null,4-6 hours,null,null,2.2 kwh,Drum,null,5.00,3.20,null,null,null,null,null,null,null
Okaya Electric Motofaast,2023-11-10,4.40,? 1.37 Lakh ,130 km/charge,70 kmph,4.07 Ps,Telescopic Suspension,Spring loaded,Disc,Alloy,2 ratings,4.50,5.00,4.50,null,4 - 5 Hours,null,null,null,Disc,null,null,null,null,null,null,null,null,null,null
Okaya Faast 4,2023-11-10,3.80,? 1.33 Lakh ,140 km/charge,70 kmph,null,Telescopic,Spring Loaded,Drum,Steel,80 ratings,null,null,null,null,4-5 hours,null,null,null,Drum,2.40,5.00,2.20,null,null,null,null,null,null,null
Okaya Faast F2T,2023-11-10,3.70,"? 99,400 ",80 km/charge,70 kmph,null,Telescopic,Dual Spring Loaded,Drum,null,2 ratings,null,null,null,null,3-4 Hours,null,null,2.16 kwh,Drum,1.00,5.00,3.00,null,null,null,null,null,null,null
Okaya Faast F2B,2023-11-10,3.90,"? 99,950 ",80 km/charge,70 kmph,null,Telescopic,Spring Loaded,Drum,Steel,8 ratings,4.00,null,4.00,null,3-4 hours,null,null,2.2 kwh,Drum,null,5.00,null,null,null,null,null,null,null,null
Velev Motors VEV 01,2023-11-10,4.40,"? 32,500 ",80 km/charge,25 kmph,250 W,null,null,Drum,Alloy,2 ratings,null,null,null,34 Kg,6-8 Hours,null,250 W,1.152 kwh,Drum,null,null,null,null,null,null,null,null,null,null
Velev Motors VIO,2023-11-10,4.00,"? 52,000 ",70 km/charge,25 kmph,250 W,null,null,Drum,Alloy,1 ratings,null,null,null,null,2-3 Hours,null,250 W,0.96 kwh,Drum,null,5.00,3.80,null,null,null,null,null,null,null
Greta Electric Harper,2023-11-10,3.40,"? 60,000 - ? 92,000 ",100 km/charge,40 kmph,null,null,null,Disc,Alloy,3 ratings,null,null,1.00,null,4 Hrs,null,null,1.44 kwh,Drum,null,5.00,3.30,null,null,null,null,null,null,null
Greta Electric Glide,2023-11-10,4.00,"? 80,000 ",100 km/charge,80 kmph,null,null,null,null,null,1 ratings,null,null,null,null,null,null,null,null,null,null,5.00,3.80,null,null,null,null,null,null,null
Greta Electric eVespa,2023-11-10,3.50,"? 60,000 - ? 92,000 ",100 km/charge,60 kmph,null,null,null,Disc,Alloy,2 ratings,null,null,null,null,4 Hrs,null,null,1.44 kwh,Drum,null,5.00,3.80,null,null,null,null,null,null,null
Greta Electric Harper ZX,2023-11-10,4.60,"? 41,999 ",80 km/charge,40 kmph,null,null,null,null,null,8 ratings,5.00,5.00,null,null,3 Hours,null,null,null,null,5.00,null,null,null,null,null,null,null,null,null
DAO Electric ZOR 405,2023-11-10,3.70,"? 88,656 ",70 km/charge,45 kmph,null,Telescopic Fork,Double Shocker,3.00-10,null,1 ratings,null,null,null,80 Kg,null,720 mm,null,1.38 kwh,90/90-12,null,5.00,3.40,null,null,null,null,null,null,null
DAO Electric Model 703,2023-11-10,4.50,? 1.14 Lakh ,100 km/charge,70 kmph,null,Telescopic Fork,Double Shocker,120/70-12,null,3 ratings,5.00,5.00,null,80 Kg,null,745 mm,null,null,100/80-12,5.00,null,null,null,null,null,null,null,null,null
DAO Electric Vidyut 108,2023-11-10,null,"? 86,449 ",80 km/charge,25 kmph,null,Telescopic Fork,Double Shocker,100/80-12,null,4 ratings,2.00,2.00,null,80 Kg,null,725 mm,null,0.9 kwh,100/80-12,1.00,null,null,null,null,null,null,null,null,null
EeVe Soul,2023-11-10,4.10,? 1.20 Lakh ,120 km/charge,60 kmph,null,TELESCOPIC SUSPENSION,4 Step Adjustable coil spring suspension,Double Disc,null,3 ratings,null,null,null,null,4 to 5 Hours,null,null,null,Drum,null,4.00,5.00,Agile design.Feature-loaded.Swappable batteries.,No under-seat storage.Quite expensive.,null,5.00,null,null,null
EeVe Xeniaa,2023-11-10,4.60,"? 79,999 - ? 86,999 ",80 km/charge,25 kmph,null,Telescopic Hydraulic,null,null,Alloy,6 ratings,null,5.00,null,null,3-4 hours,null,null,1.2 kwh,Disc,5.00,5.00,null,null,null,null,null,null,null,null
EeVe Wind,2023-11-10,null,"? 59,999 ",70 km/charge,25 kmph,null,Telescopic Hydraulic,null,null,Alloy,null,null,null,null,null,6-7 hours,null,null,1.62 kwh,Disc,null,null,null,null,null,null,null,null,null,null
EeVe Ahava,2023-11-10,3.00,"? 62,499 ",70 km/charge,25 kmph,null,Telescopic Hydraulic,null,null,Alloy,6 ratings,null,null,null,null,6-7 hours,null,null,1.62 kwh,Disc,null,4.50,null,null,null,null,5.00,5.00,null,null
EeVe Atreo,2023-11-10,3.70,"? 68,999 ",85 km/charge,25 kmph,null,Telescopic Hydraulic,null,null,Alloy,1 ratings,null,null,null,null,6-7 hours,null,null,1.4 kwh,Disc,null,5.00,3.40,null,null,null,null,null,null,null
Evolet Pony,2023-11-10,4.20,"? 45,999 - ? 59,999 ",60 km/charge,25 kmph,null,Hydraulic Telescopic,Double Shocker with dual tube technology,Tubeless,Alloy,9 ratings,5.00,5.00,null,82 Kg,8 - 9 Hours,null,null,1.15 kwh,null,null,null,3.00,null,null,null,null,null,null,null
Evolet Dhanno,2023-11-10,3.50,"? 76,999 ",80 km/charge,25 kmph,null,Hydraulic Telescopic,Double Shocker with dual tube technology,Tubeless,Alloy,1 ratings,null,null,null,96 Kg,3 - 4 hours,695 mm,null,1.87 kwh,null,null,5.00,3.20,450 kg loading capacity.80 km riding range.Latest Features.LED headlightsLightweightSmart design.,Quite expensiveTakes 4 hours of charging time.Too expensive at this rateTop speed only 25kmph.,null,null,null,null,null
Evolet Polo,2023-11-10,4.10,"? 51,999 - ? 69,999 ",65 km/charge,25 kmph,null,Hydraulic Telescopic,Double Shocker with dual tube technology,Tubeless,Alloy,4 ratings,null,null,null,96 Kg,8 - 9 Hours,null,null,1.15 kwh,null,null,5.00,3.40,null,null,null,null,null,null,null
Evolet Derby,2023-11-10,4.30,"? 56,999 - ? 78,999 ",65 km/charge,25 kmph,null,Hydraulic Telescopic,Double Shocker with dual tube technology,Tubeless,Alloy,3 ratings,null,null,null,85 Kg,8 - 9 Hours,750 mm,null,1.15 kwh,null,null,5.00,3.40,null,null,null,null,null,null,null
Hop Electric Leo,2023-11-10,3.90,"? 84,360 ",75 km/charge,25 kmph,null,Telescopic Fork,Hydrolic spring loaded shock,null,Alloy,9 ratings,5.00,5.00,null,null,3 Hours,null,null,1.48 kwh,null,null,null,null,Fast charging.Multiple riding modes.Removeable battery. ,Poor riding rangePoor top speed.,5.00,null,null,null,null
Hop Electric Leo Extended,2023-11-10,5.00,"? 97,504 ",120 km/charge,60 kmph,null,Telescopic Fork,Hydrolic spring loaded shock,null,Alloy,2 ratings,5.00,null,5.00,null,3 Hours,null,null,1.48 kwh,null,null,null,5.00,null,null,null,null,null,null,null
Hop Electric LYF,2023-11-10,4.20,"? 67,500 - ? 74,500 ",75 km/charge,25 kmph,null,Telescopic Fork,Hydrolic spring loaded shock,null,Alloy,20 ratings,null,4.10,null,null,3 Hours,null,null,1.48 kwh,null,4.10,null,4.10,3 Different riding modes.Quick charging time.Smart design.,Extended version too costly.Fewer dealerships.,null,null,null,null,null
iVOOMi JeetX,2023-11-10,4.10,? 100.00 K - ? 1.04 Lakh ,70-100 km/charge,25 kmph,null,Telescopic,Spring Loaded Telescopic,null,Alloy,7 ratings,3.00,null,3.00,79 Kg,2.5 - 3 Hours,770 mm,null,1.5 kwh,null,3.00,null,null,null,null,null,null,null,null,null
iVOOMi S1,2023-11-10,3.40,"? 84,999 ",115 km/charge,55 kmph,null,null,null,null,Alloy,18 ratings,null,null,null,75 Kg,3-4 Hours,null,null,2 kwh,null,null,4.00,null,null,null,null,5.00,4.00,null,null
iVOOMi City-1,2023-11-10,3.70,"? 79,143 ",90 km/charge,65 kmph,1500 W,null,null,Tubeless,Alloy,1 ratings,null,null,null,null,3-4 hours,null,1500 W,1.8 kwh,Tubeless,null,5.00,3.40,null,null,null,null,null,null,null
iVOOMi City,2023-11-10,null,"? 81,499 ",90 km/charge,65 kmph,1200 W,null,null,Tubeless,Alloy,4 ratings,1.00,null,1.00,null,3-4 hours,760 mm,1200 W,1.92 kwh,Tubeless,1.00,null,null,null,null,null,null,null,null,null
iVOOMi Jeet,2023-11-10,4.40,"? 79,999 - ? 94,999 ",130 km/charge,50 kmph,null,null,null,null,Alloy,2 ratings,null,null,null,null,null,760 mm,null,2 kwh,null,null,5.00,3.60,null,null,null,null,null,null,null
GRP EV 11 Mini,2023-11-10,3.50,"? 74,500 ",100 km/charge,50 kmph,null,null,null,null,Alloy,4 ratings,null,null,null,null,3 - 4 hours,880 mm,null,null,null,null,4.70,4.30,null,null,4.30,null,null,null,null
GRP EV 11 Pro,2023-11-10,4.40,"? 84,000 ",100 km/charge,50 kmph,null,null,null,null,Alloy,5 ratings,null,5.00,5.00,null,3 - 4 hours,880 mm,null,null,null,5.00,null,null,null,null,null,null,null,null,null
GRP EV 11 Max,2023-11-10,4.30,"? 82,000 ",100 km/charge,50 kmph,null,null,null,null,Alloy,4 ratings,null,null,null,null,3 - 4 hours,880 mm,null,null,null,null,4.30,4.80,null,null,null,4.50,null,null,null
Crayon Zeez,2023-11-10,3.70,"? 48,000 - ? 58,000 ",null,25 kmph,250 W,null,null,Disc,Alloy,2 ratings,null,null,null,null,null,null,250 W,48 kwh,null,null,5.00,3.40,null,null,null,null,null,null,null
Crayon Envy,2023-11-10,3.40,"? 53,000 - ? 65,000 ",null,25 kmph,250 W,null,null,Disc,Alloy,2 ratings,null,null,null,null,null,null,250 W,null,null,null,5.00,3.40,null,null,null,null,null,null,null
TVS iQube Electric,2023-11-10,4.00,? 1.56 Lakh - ? 1.62 Lakh ,100 km/charge,78 kmph,5.98 PS,Telescopic,Hydraulic twin tube shock absorber,Disc,null,211 ratings,4.60,4.30,null,117.2 Kg,5 Hours,770 mm,null,null,Drum,null,null,null,Extremely good ride quality and comfortable seatElectric motor is completely noise free Good quality of panels and switch gear,Not as quick or fast as the Ola S1 ProLimited riding range as compared to rivals,null,null,4.20,null,null
TVS X EV,2023-11-10,4.30,? 2.50 Lakh ,140 km/charge,105 kmph,14.95 PS,Telescopic,Monoshock,Disc,null,129 ratings,4.90,4.80,null,null,4 Hours,770 mm,null,null,Disc,null,4.00,null,Futuristic and sporty design languagePowerful motor and 140 km of rangeFeature-loaded and advanced technology,Bit priceyNot a family-friendly scooter,null,null,null,null,null
PURE EV Epluto,2023-11-10,null,"? 74,999 ",90 km/charge,25 kmph,0.40 Ps,null,null,Disc,Alloy Wheels,27 ratings,2.20,2.00,1.80,79 Kg,4 Hours,null,1.5 kWh,2.5 kwh,Drum,null,null,null,null,null,null,null,null,null,null
PURE EV ETrance NEO,2023-11-10,4.70,"? 78,999 - ? 93,999 ",85 km/charge,60 kmph,3 Ps,Telescopic,null,Drum,Cast Aluminum Wheels,9 ratings,5.00,5.00,null,49 Kg,4 Hours,null,1.5 kWh,2.5 kwh,Drum,5.00,null,null,null,null,null,null,null,null,null
PURE EV Epluto 7G,2023-11-10,5.00,? 84.00 K - ? 1.15 Lakh ,90 km/charge,60 kmph,3 Ps,Telescopic,null,null,Alloy,56 ratings,3.00,null,2.40,79 Kg,4 Hours,760 mm,2200 W,2.5 kwh,null,null,null,2.40,null,null,null,null,null,null,null
SES Eagle,2023-11-10,3.60,"? 66,000 - ? 77,000 ",75  km/charge,25 kmph,250 W,Telescopic,Coil type,Disc,null,5 ratings,null,null,null,null,4-5 Hrs,null,250 W,1.2 kwh,Drum,null,5.00,3.40,null,null,null,null,null,null,null
SES Fly,2023-11-10,3.70,"? 57,000 ",75  km/charge,25 kmph,250 W,Telescopic,Coil type,Drum,null,1 ratings,null,null,null,null,4-5 Hrs,null,250 W,2.88 kwh,Drum,null,5.00,3.40,null,null,null,null,null,null,null
SES Tuff,2023-11-10,3.70,"? 67,000 ",75  km/charge,25 kmph,250 W,Telescopic,Coil type,Drum,null,1 ratings,null,null,null,null,4-5 Hrs,null,250 W,1.2 kwh,Disc,null,5.00,3.40,null,null,null,null,null,null,null
SES Zoom,2023-11-10,3.70,"? 63,000 ",75  km/charge,25 kmph,250 W,Telescopic,Coil type,Drum,null,1 ratings,null,null,null,null,4-5 Hrs,null,250 W,1.2 kwh,Drum,null,5.00,3.40,null,null,null,null,null,null,null
SES Bold,2023-11-10,3.70,"? 87,000 ",100 km/charge,25 kmph,250 W,Telescopic,Coil type,Disc,null,1 ratings,null,null,null,null,4-5 Hrs,null,250 W,1.8 kwh,Drum,null,5.00,3.40,null,null,null,null,null,null,null
SES Hobby,2023-11-10,4.30,"? 90,140 ",null,25 kmph,null,Telescopic,Coil type,Drum,null,30 ratings,4.80,5.00,4.30,null,3-4 hours,null,null,null,Drum,null,null,null,null,null,null,null,null,null,null
Energy Automobile EvOne,2023-11-10,4.30,"? 60,000 ",90 km/charge,25 kmph,null,Fork Type Hydraulic Telescopic,Hydraulic Coil Spring,Disc,Alloy,29 ratings,4.80,5.00,null,null,2 to 4 hours,null,null,1.8 kwh,Disc,null,4.50,null,null,null,null,null,null,null,null
Quantum Elektron,2023-11-10,3.20,"? 91,000 ",80 km/charge,50 kmph,null,Telescopic fork tubes,Dual shock,Disc,null,4 ratings,3.00,null,null,null,3-4 hours,755 mm,null,1.822 kwh,Drum,null,5.00,3.30,null,null,null,null,null,null,null
Quantum Plasma,2023-11-10,4.60,? 1.25 Lakh ,115 km/charge,60 kmph,null,null,null,Disc,Aluminum,2 ratings,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Quantum Bziness,2023-11-10,null,"? 96,499 ",80 km/charge,50 kmph,null,null,null,Disc,Tubeless,null,null,null,null,null,3-4 Hours,805 mm,null,null,Disc,null,null,null,null,null,null,null,null,null,null
Quantum Milan,2023-11-10,4.10,"? 89,000 ",80 km/charge,50 kmph,null,Telescopic fork tubes,Dual shock,Disc,null,2 ratings,null,null,null,null,3-4 hours,745 mm,null,1.822 kwh,Disc,null,5.00,3.40,null,null,null,null,null,null,null
Tunwal Sport 63 Mini,2023-11-10,3.70,"? 49,990 ",85 km/charge,25 kmph,null,Hydrolic Suspention,Hydrolic Suspention,Drum,null,8 ratings,3.00,null,null,null,6-7 hrs,null,null,1.56 kwh,Drum,3.00,null,3.00,Decent range of 85 kmHas an attractive price tagOffers good road handling from telescopic forks,Has a fibre body instead of metalLong term reliability is a suspectNo Disc brake option,null,null,null,null,null
Tunwal Roma S,2023-11-10,3.60,"? 95,000 ",90 km/charge,40 kmph,null,Hydrolic Suspention,Hydrolic Suspention,Disc,null,2 ratings,null,null,null,null,null,null,null,1.56 kwh,Disc,null,5.00,3.60,Comes with stylish alloy wheels with disc brakes at front and rearDecent range of 90 km for the priceRetro styling will impress those who like old school designs, No track record of long term reliabilityLooks too much like Vespa rangeNot available with ABS,null,null,null,null,null
Tunwal T 133,2023-11-10,3.80,? 1.00 Lakh ,null,55 kmph,null,Telescopic,null,null,Alloy,2 ratings,null,null,null,null,null,null,null,null,null,null,5.00,3.60,null,null,null,null,null,null,null
Tunwal Sport 63 Mid,2023-11-10,3.30,"? 71,990 ",70 km/charge,217 kmph,null,Hydrolic Suspention,Hydrolic Suspention,Drum,null,2 ratings,null,null,null,null,null,null,null,1.24 kwh,Drum,null,5.00,3.60,Available in four colour optionsComes with Telescopic front forksLow top speed of 25 kmph,No availableOddball looks don't have a wide appealtrack record of long term reliability,null,null,null,null,null
Tunwal Mini Lithino,2023-11-10,3.70,"? 54,990 ",110 km/charge,25 kmph,250 Watt,Hydrolic Suspention,Hydrolic Suspention,Disc,null,7 ratings,null,null,null,null,3-4 hrs,null,null,1.56 kwh,Drum,null,5.00,3.40,Funky looks are sure to attract youngstersPriced pretty attrctively, Low top speed of 25 kmphLimited driving range of 55 kmLong term reliability is a suspect,null,null,null,null,null
Tunwal Strom ZX,2023-11-10,null,"? 90,000 ",120 km/charge,50 kmph,null,Hydrolic Suspention,Hydrolic Suspention,Disc,null,3 ratings,3.00,null,2.00,null,null,null,null,1.56 kwh,Drum,null,null,2.00,"High Driving Range of upto 150 kmLow Electricity ConsumtionOffers Removable Battery for Easy Charging, ABS leads to better braking",Doesn't come with ABSNot a tried and tested productSlightly on the costlier side,null,null,null,null,null
Tunwal Storm ZX Advance 1,2023-11-10,3.80,? 1.15 Lakh ,120 km/charge,105 kmph,null,Hydrolic Suspention,Hydrolic Suspention,Disc,null,3 ratings,null,null,null,null,null,null,null,null,Drum,null,5.00,3.60,Comfortable seat with backrestGets Telescopic front forksHigher stability from 3-wheeler format,Limited practicality due to only one seat on offerLong term reliability is a suspectWider body can be hard to manage on crowded streets,null,null,null,null,null
Tunwal Storm ZX Advance 2,2023-11-10,3.50,? 1.35 Lakh ,120 km/charge,30 kmph,null,Hydrolic Suspention,Hydrolic Suspention,Disc,null,4 ratings,5.00,5.00,null,null,null,null,null,null,Drum,null,5.00,null,Disc Brake at frotnHigh comfort level from seats with backrestsLong wheelbase leads to decent space,No Rear disc brake or ABSOdd-ball looks due to XL wheelbase and unique seating arrangementQuite expensive for a relatively unknown brand,null,null,null,null,null
Tunwal Lithino Li,2023-11-10,3.90,"? 74,990 ",120 km/charge,25 kmph,null,null,Hydrolic Suspention,null,Alloy,4 ratings,5.00,5.00,5.00,null,null,null,null,1.56 kwh,Drum,null,null,null,Can easily accomodate two adultsLooks quite stylish,"Limited driving range of 70 kmLimited driving range of 70 km, Not available with ABSLong term reliability is a suspectNot available with ABS",null,null,null,null,null
Warivo Motors Nexa,2023-11-10,3.70,"? 58,300 - ? 74,300 ",100 km/charge,85 kmph,null,Telescopic,Telescopic,null,null,6 ratings,null,null,null,59 Kg,5 - 8 hours,null,null,1.29 kwh,null,null,5.00,null,null,null,4.00,5.00,null,null,null
Warivo Motors Queen SX,2023-11-10,4.00,"? 75,300 ",80 km/charge,50 kmph,null,Telescopic,Telescopic,null,null,1 ratings,null,null,null,60.9 Kg,5 - 8 hours,null,null,1.62 kwh,null,null,5.00,3.80,null,null,null,null,null,null,null
Warivo Motors Enduro,2023-11-10,3.80,"? 53,800 ",60 km/charge,40 kmph,null,Telescopic,Telescopic,null,null,1 ratings,null,null,null,null,5 - 8 hours,680 mm,null,1.62 kwh,null,null,null,null,null,null,null,null,null,null,null
Warivo Motors Queen,2023-11-10,null,"? 46,800 ",110 km/charge,50 kmph,null,Telescopic,Telescopic,null,null,null,null,null,null,56 Kg,5 - 8 hours,null,null,0.74 kwh,null,null,null,null,null,null,null,null,null,null,null
Warivo Motors Smarty,2023-11-10,4.00,"? 74,300 ",70 km/charge,40 kmph,null,Telescopic,Telescopic,null,null,1 ratings,null,null,null,33.8 Kg,5 - 8 hours,null,null,1.2 kwh,null,null,5.00,3.80,null,null,null,null,null,null,null
BattRE Electric Storie,2023-11-10,null,"? 89,600 ",132 km/charge,132 kmph,null,null,null,null,Alloy,null,null,null,null,null,null,null,null,3.1 kwh,null,null,null,null,null,null,null,null,null,null,null
BattRE Electric LoEV,2023-11-10,3.00,"? 68,900 ",60 km/charge,25 kmph,null,Fork Type Hydraulic,Adjustable Hydraulic Coilover,Disc,null,19 ratings,null,null,null,65 Kg,2.5 Hours,null,null,1.152 kwh,Disc,null,3.80,null,null,null,3.30,null,4.30,null,null
BattRE Electric IOT,2023-11-10,3.80,"? 80,900 ",85 km/charge,110 kmph,null,Fork Type Hydraulic,Adjustable Hydraulic Coilover,Disc,null,2 ratings,null,null,null,65 Kg,2.5 Hours,null,null,1.44 kwh,Disc,null,null,4.00,null,null,4.00,null,4.00,null,null
BattRE Electric One,2023-11-10,3.70,"? 73,900 ",85 km/charge,110 kmph,null,Fork Type Hydraulic,Adjustable Hydraulic Coilover,Disc,null,4 ratings,null,null,null,60 Kg,2.5 Hours,null,null,1.44 kwh,Disc,null,5.00,3.40,null,null,null,null,null,null,null
BattRE Electric GPSIE,2023-11-10,3.60,"? 73,900 ",65 km/charge,90 kmph,250 W,Fork Type Hydraulic,null,Disc,Alloy,2 ratings,null,null,null,null,2.5 Hours,null,250 W,1.152 kwh,null,null,4.50,null,null,null,4.00,null,3.50,null,null
Stella Automobili Scooters SA 1000,2023-11-10,4.50,"? 68,000 - ? 75,000 ",70 km/charge,25 kmph,250 W,Hydraulic Telescopic,Double shocker with dual tube technology,Drum,null,3 ratings,5.00,5.00,5.00,null,3-4 Hours,null,250 W,null,Drum,null,null,null,null,null,null,null,null,null,null
Stella Automobili Scooters SA 2000,2023-11-10,3.40,"? 86,000 - ? 94,000 ",70 km/charge,25 kmph,250 W,Hydraulic Telescopic,null,Disc,Alloy,2 ratings,null,null,null,null,3-4 Hours,null,250 W,null,Drum,null,5.00,3.40,null,null,null,null,null,null,null
Stella Automobili Buzz,2023-11-10,3.70,"? 95,000 ",90 km/charge,55 kmph,null,null,null,Drum,Alloy,1 ratings,null,null,null,null,null,null,null,2.16 kwh,Drum,null,5.00,3.40,null,null,null,null,null,null,null
Fidato Evtech Easy Go,2023-11-10,3.80,"? 86,315 ",60 km/charge,90 kmph,null,Hydraulic,null,null,Alloy,2 ratings,null,null,null,null,4-5 hours,null,null,0.28 kwh,null,null,5.00,3.60,null,null,null,null,null,null,null
Fidato Evtech EasyGo Plus,2023-11-10,3.00,"? 95,605 ",80 km/charge,25 kmph,null,Hydraulic,null,null,Alloy,3 ratings,3.00,2.00,2.00,null,4-5 hours,null,null,0.36 kwh,null,null,null,null,null,null,null,null,null,null,null
Fidato Evtech Future,2023-11-10,3.00,"? 70,300 ",60 km/charge,90 kmph,null,Hydraulic,null,null,Alloy,4 ratings,5.00,null,null,null,4-5 hours,null,null,0.28 kwh,null,null,5.00,3.50,null,null,null,null,null,null,null
Fidato Evtech Loder,2023-11-10,4.00,"? 83,490 ",60 km/charge,90 kmph,null,Hydraulic,null,null,Alloy,1 ratings,null,null,null,null,3-4 hours,null,null,0.24 kwh,null,null,5.00,3.80,null,null,null,null,null,null,null
Fidato Evtech Cutie,2023-11-10,3.80,"? 54,600 ",60 km/charge,45 kmph,null,Hydraulic,null,null,Alloy,1 ratings,null,null,null,null,3-4 hours,null,null,0.25 kwh,null,null,5.00,3.60,null,null,null,null,null,null,null
Rugged G1,2023-11-10,3.90,? 78.50 K - ? 1.03 Lakh ,160 km/charge,75 kmph,1500 W,null,Leading link w/anti dive,Tubeless,Alloy,2 ratings,null,null,null,null,4 hours,null,1500 W,1.9 kwh,Tubeless,null,5.00,3.40,80-160km riding range.Quick charging time.Strong chassis.,Not very good looking.Only one colour option.,null,null,null,null,null
Segway E110A,2023-11-10,3.40,"? 73,937 ",null,50 kmph,null,null,null,null,null,2 ratings,null,null,null,null,6 Hours,null,null,null,null,null,5.00,3.40,null,null,null,null,null,null,null
Okinawa PraisePro,2023-11-10,3.10,"? 99,645 ",81 km/charge,56 kmph,2500 W,Hydraulic Telescopic,Double Shocker with dual tube technology,Disc,null,47 ratings,3.40,null,3.10,null,2-3 Hours,800 mm,null,2.08 kwh,Disc,3.00,null,null,null,null,null,null,null,null,null
Okinawa OKHI 90,2023-11-10,3.60,? 1.86 Lakh ,160 km/charge,90 kmph,null,Hydraulic Telescopic,Double shocker with dual tube technology,Disc,null,75 ratings,null,null,null,null,5-6 Hours,803 mm,null,null,Disc,null,4.10,null,"Design is modern, large foot print with good road presenceGreat performance combined with excellent rangeOkinawa has been improving their dealer networkShould offer excellent range and unique featuresValue pricing for the segment and performanceWill be one of the biggest e-scooters on sale in India",Firm ride quality could be an issue over broken roadsFit and finish not the best around,4.10,null,4.40,null,null
